count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
703,2000,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,104,11667,96,1794,531,121,117,288,534,559,2150,15811
703,2001,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,104,12017,98,1896,542,145,122,263,476,651,2199,16314
703,2002,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,100,12174,98,2037,554,160,135,248,429,741,2267,16676
703,2003,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Counted,"Manual count",0,82,20397,88,3053,1201,162,96,326,818,623,3226,26846
703,2004,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,73,20968,52,3365,1295,184,113,324,758,715,3389,27847
703,2005,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,73,20968,55,3482,1293,179,119,298,686,782,3357,27935
703,2006,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Counted,"Manual count",0,46,20556,128,2912,1014,151,204,362,1005,737,3473,27115
703,2007,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,48,20700,145,3083,986,146,218,317,974,771,3412,27388
703,2008,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Counted,"Manual count",0,213,27368,169,4023,1116,236,177,133,1145,806,3613,35386
703,2009,3,Scotland,29,"City of Edinburgh",M9,Major,1,A8000,311900,675200,55.96169729,-3.41277804,1.90,1.18,Estimated,"Estimated using AADF from previous year on this link",0,206,27122,181,4095,1030,236,170,123,983,778,3320,34924
